synth_id;from_interpolation;parameter;time;value
-2;0;1;36;0.25
-2;0;1;1466;0.25
-2;0;1;2173;0.265625
-2;0;1;2183;0.265625
-2;0;1;2198;0.2890625
-2;0;1;2213;0.3203125
-2;0;1;2229;0.359375
-2;0;1;2249;0.3984375
-2;0;1;2262;0.4453125
-2;0;1;2279;0.5
-2;0;1;2298;0.546875
-2;0;1;2314;0.6015625
-2;0;1;2329;0.6484375
-2;0;1;2346;0.6953125
-2;0;1;2363;0.734375
-2;0;1;2381;0.7734375
-2;0;1;2396;0.8125
-2;0;1;2412;0.84375
-2;0;1;2429;0.875
-2;0;1;2445;0.90625
-2;0;1;2462;0.9296875
-2;0;1;2479;0.953125
-2;0;1;2495;0.9765625
-2;0;1;2514;0.9921875
-2;0;1;2529;1
-2;0;1;2980;0.984375
-2;0;1;2996;0.953125
-2;0;1;3012;0.9140625
-2;0;1;3029;0.875
-2;0;1;3046;0.8203125
-2;0;1;3063;0.765625
-2;0;1;3079;0.703125
-2;0;1;3096;0.6328125
-2;0;1;3112;0.5546875
-2;0;1;3129;0.4765625
-2;0;1;3146;0.390625
-2;0;1;3163;0.296875
-2;0;1;3179;0.21875
-2;0;1;3197;0.140625
-2;0;1;3217;0.09375
-2;0;1;4349;0.09375
-2;0;1;7070;0.09375
-2;0;1;9865;0.09375
-2;0;1;12456;0.09375
-2;0;1;15045;0.09375
-2;0;1;17789;0.09375
-2;0;1;20581;0.09375
-2;0;1;23163;0.09375
-2;0;1;25757;0.09375
-2;0;1;28493;0.09375
-2;0;1;31243;0.09375
-2;0;1;33830;0.09375
-2;0;1;36413;0.09375
-2;0;1;38996;0.09375
-2;0;2;37;0.25
-2;0;2;2124;0.25
-2;0;2;3556;0.265625
-2;0;2;3566;0.2734375
-2;0;2;3579;0.3125
-2;0;2;3596;0.3515625
-2;0;2;3612;0.3984375
-2;0;2;3629;0.453125
-2;0;2;3646;0.5078125
-2;0;2;3662;0.5703125
-2;0;2;3679;0.6328125
-2;0;2;3696;0.6875
-2;0;2;3713;0.7421875
-2;0;2;3730;0.796875
-2;0;2;3746;0.84375
-2;0;2;3762;0.8828125
-2;0;2;3779;0.921875
