synth_id;from_interpolation;parameter;time;value
-2;0;1;35;0.25
-2;0;1;2712;0.25
-2;0;1;5308;0.25
-2;0;2;35;0.25
-2;0;2;778;0.25
-2;0;2;3356;0.25
-2;0;3;36;0.25
-2;0;3;1418;0.25
-2;0;3;4010;0.25
-2;0;4;36;0.25
-2;0;4;2067;0.25
-2;0;4;4659;0.25
-1;1;1;18;0.25
-1;1;1;1979;0.2421875
-1;1;1;2015;0.234375
-1;1;1;2041;0.2265625
-1;1;1;2075;0.21875
-1;1;1;2089;0.2109375
-1;1;1;2106;0.2109375
-1;1;1;2142;0.1953125
-1;1;1;2157;0.1875
-1;1;1;2174;0.1796875
-1;1;1;2192;0.1796875
-1;1;1;2209;0.171875
-1;1;1;2226;0.1640625
-1;1;1;2242;0.15625
-1;1;1;2257;0.1484375
-1;1;1;2273;0.1328125
-1;1;1;2292;0.125
-1;1;1;2310;0.1171875
-1;1;1;2326;0.109375
-1;1;1;2342;0.1015625
-1;1;1;2357;0.0859375
-1;1;1;2373;0.078125
-1;1;1;2392;0.0625
-1;1;1;2409;0.0546875
-1;1;1;2426;0.0390625
-1;1;1;2442;0.03125
-1;1;1;2459;0.015625
-1;1;1;2477;0
-1;1;1;3348;0
-1;1;1;3360;0.0078125
-1;1;1;3377;0.015625
-1;1;1;3397;0.0234375
-1;1;1;3411;0.03125
-1;1;1;3427;0.0390625
-1;1;1;3443;0.046875
-1;1;1;3457;0.0546875
-1;1;1;3474;0.0625
-1;1;1;3491;0.0703125
-1;1;1;3510;0.078125
-1;1;1;3527;0.0859375
-1;1;1;3541;0.09375
-1;1;1;3558;0.1015625
-1;1;1;3594;0.1171875
-1;1;1;3608;0.1171875
-1;1;1;3624;0.125
-1;1;1;3641;0.1328125
-1;1;1;3658;0.140625
-1;1;1;3692;0.1484375
-1;1;1;3708;0.15625
-1;1;1;3748;0.1640625
-1;1;1;3875;0.171875
-1;1;1;3908;0.1875
-1;1;1;3925;0.1953125
-1;1;1;3945;0.1953125
-1;1;1;3958;0.203125
-1;1;1;4010;0.2109375
-1;1;1;4259;0.2109375
-1;1;1;4291;0.2109375
-1;1;1;4558;0.2109375
-1;1;1;4574;0.21875
-1;1;1;4591;0.234375
-1;1;1;4608;0.234375
-1;1;1;4624;0.25
-1;1;1;4641;0.25
-1;1;1;4658;0.265625
-1;1;1;4677;0.2734375
-1;1;1;4697;0.28125
-1;1;1;4708;0.296875
-1;1;1;4725;0.3046875
-1;1;1;4742;0.3125
-1;1;1;4760;0.328125
-1;1;1;4775;0.3359375
-1;1;1;4791;0.3515625
-1;1;1;4807;0.359375
-1;1;1;4824;0.375
-1;1;1;4841;0.3828125
-1;1;1;4858;0.390625
-1;1;1;4874;0.40625
-1;1;1;4891;0.4140625
-1;1;1;4908;0.4296875
-1;1;1;4924;0.4453125
-1;1;1;4941;0.4609375
-1;1;1;4957;0.4765625
-1;1;1;4974;0.4921875
-1;1;1;4991;0.5078125
-1;1;1;5008;0.5234375
-1;1;1;5024;0.5390625
-1;1;1;5041;0.5546875
-1;1;1;5057;0.5703125
-1;1;1;5075;0.5859375
-1;1;1;5092;0.6015625
-1;1;1;5112;0.6171875
-1;1;1;5129;0.6328125
-1;1;1;5144;0.6484375
-1;1;1;5160;0.6640625
-1;1;1;5177;0.6796875
-1;1;1;5192;0.6953125
-1;1;1;5210;0.7109375
-1;1;1;5225;0.71875
-1;1;1;5241;0.734375
-1;1;1;5258;0.75
-1;1;1;5274;0.7578125
-1;1;1;5291;0.765625
-1;1;1;5308;0.78125
-1;1;1;5325;0.7890625
-1;1;1;5341;0.796875
-1;1;1;5358;0.8125
-1;1;1;5375;0.8203125
-1;1;1;5391;0.828125
-1;1;1;5408;0.84375
-1;1;1;5425;0.8515625
-1;1;1;5441;0.859375
-1;1;1;5458;0.875
-1;1;1;5475;0.8828125
-1;1;1;5493;0.890625
-1;1;1;5509;0.8984375
-1;1;1;5532;0.90625
-1;1;1;5559;0.921875
-1;1;1;5575;0.9296875
-1;1;1;5608;0.9375
-1;1;1;5661;0.9453125
-1;1;1;5984;0.9453125
-1;1;1;6200;0.9453125
-1;1;1;6625;0.9453125
