synth_id;from_interpolation;parameter;time;value
-2;0;1;43;0.25
-2;0;1;1949;0.25
-2;0;1;4934;0.25
-2;0;1;7106;0.2578125
-2;0;1;7123;0.2734375
-2;0;1;7139;0.296875
-2;0;1;7157;0.3203125
-2;0;1;7172;0.3515625
-2;0;1;7190;0.375
-2;0;1;7205;0.3984375
-2;0;1;7222;0.4140625
-2;0;1;7240;0.4453125
-2;0;1;7256;0.46875
-2;0;1;7273;0.4921875
-2;0;1;7289;0.515625
-2;0;1;7306;0.5390625
-2;0;1;7323;0.5625
-2;0;1;7339;0.5859375
-2;0;1;7356;0.6015625
-2;0;1;7372;0.625
-2;0;1;7389;0.6484375
-2;0;1;7408;0.6640625
-2;0;1;7422;0.6875
-2;0;1;7439;0.703125
-2;0;1;7459;0.71875
-2;0;1;7475;0.734375
-2;0;1;7490;0.75
-2;0;1;7506;0.7578125
-2;0;1;7523;0.7734375
-2;0;1;7539;0.7890625
-2;0;1;7556;0.8046875
-2;0;1;7573;0.8203125
-2;0;1;7589;0.828125
-2;0;1;7606;0.8359375
-2;0;1;7622;0.84375
-2;0;1;7639;0.8515625
-2;0;1;7672;0.859375
-2;0;1;7872;0.859375
-2;0;1;7922;0.8515625
-2;0;1;8156;0.84375
-2;0;1;10802;0.84375
-2;0;1;13745;0.84375
-2;0;1;16266;0.828125
-2;0;1;16292;0.8125
-2;0;1;16307;0.796875
-2;0;1;16324;0.7890625
-2;0;1;16341;0.7734375
-2;0;1;16357;0.765625
-2;0;1;16375;0.7578125
-2;0;1;16391;0.75
-2;0;1;16409;0.7421875
-2;0;1;16425;0.734375
-2;0;1;16442;0.7265625
-2;0;1;16474;0.71875
-2;0;1;16508;0.7109375
-2;0;1;16574;0.703125
-2;0;1;17093;0.6953125
-2;0;1;17107;0.6796875
-2;0;1;17124;0.671875
-2;0;1;17141;0.65625
-2;0;1;17157;0.640625
-2;0;1;17175;0.625
-2;0;1;17191;0.609375
-2;0;1;17210;0.5859375
-2;0;1;17225;0.5625
-2;0;1;17241;0.546875
-2;0;1;17260;0.5234375
-2;0;1;17275;0.5078125
-2;0;1;17292;0.484375
-2;0;1;17308;0.46875
-2;0;1;17324;0.4453125
-2;0;1;17344;0.421875
-2;0;1;17359;0.3984375
-2;0;1;17374;0.3828125
-2;0;1;17393;0.359375
-2;0;1;17409;0.3359375
-2;0;1;17425;0.3203125
-2;0;1;17440;0.296875
-2;0;1;17457;0.28125
-2;0;1;17473;0.265625
-2;0;1;17492;0.25
-2;0;1;17507;0.234375
-2;0;1;17526;0.2265625
-2;0;1;17542;0.2109375
-2;0;1;17557;0.203125
-2;0;1;17573;0.1953125
-2;0;1;17590;0.1875
-2;0;1;17607;0.1796875
-2;0;1;17626;0.171875
-2;0;1;17657;0.1640625
-2;0;1;17707;0.15625
-2;0;1;17824;0.1640625
-2;0;1;17841;0.171875
-2;0;1;17857;0.1796875
-2;0;1;17873;0.1953125
-2;0;1;17890;0.2109375
-2;0;1;17907;0.2265625
-2;0;1;17924;0.25
-2;0;1;17940;0.265625
-2;0;1;17957;0.2890625
-2;0;1;17974;0.3125
-2;0;1;17990;0.3359375
-2;0;1;18008;0.3515625
-2;0;1;18024;0.375
-2;0;1;18040;0.3984375
-2;0;1;18057;0.421875
-2;0;1;18074;0.4453125
-2;0;1;18091;0.4609375
-2;0;1;18107;0.484375
-2;0;1;18124;0.5
-2;0;1;18140;0.5234375
-2;0;1;18157;0.5390625
-2;0;1;18175;0.5625
-2;0;1;18190;0.578125
-2;0;1;18207;0.59375
-2;0;1;18224;0.6015625
-2;0;1;18240;0.6171875
-2;0;1;18258;0.625
-2;0;1;18274;0.6328125
-2;0;1;18374;0.6328125
-2;0;1;18391;0.6171875
-2;0;1;18407;0.59375
-2;0;1;18424;0.5625
-2;0;1;18441;0.5234375
-2;0;1;18457;0.4921875
-2;0;1;18474;0.4609375
-2;0;1;18491;0.4375
-2;0;1;18508;0.40625
-2;0;1;18524;0.3828125
-2;0;1;18541;0.359375
-2;0;1;18558;0.3359375
-2;0;1;18574;0.3203125
-2;0;1;18591;0.3046875
-2;0;1;18611;0.296875
-2;0;1;18626;0.28125
-2;0;1;18641;0.28125
-2;0;1;18675;0.265625
-2;0;1;18740;0.265625
-2;0;1;19143;0.265625
-2;0;1;19241;0.2734375
-2;0;1;19291;0.28125
-2;0;1;19324;0.2890625
-2;0;1;19341;0.296875
-2;0;1;19374;0.3046875
-2;0;1;19391;0.3125
-2;0;1;19425;0.3203125
-2;0;1;19457;0.328125
-2;0;1;19491;0.3359375
-2;0;1;19524;0.34375
-2;0;1;19557;0.3515625
-2;0;1;19591;0.359375
-2;0;1;19624;0.3671875
-2;0;1;19657;0.375
-2;0;1;19707;0.3828125
-2;0;1;19874;0.390625
-2;0;1;20292;0.3984375
-2;0;1;20495;0.40625
-2;0;1;20541;0.4140625
-2;0;1;22220;0.421875
-2;0;2;45;0.25
-2;0;2;1447;0.2578125
-2;0;2;1472;0.2734375
-2;0;2;1488;0.2890625
-2;0;2;1505;0.3046875
-2;0;2;1522;0.328125
-2;0;2;1538;0.34375
-2;0;2;1555;0.359375
-2;0;2;1572;0.3828125
-2;0;2;1588;0.3984375
-2;0;2;1605;0.421875
-2;0;2;1622;0.4375
-2;0;2;1638;0.453125
-2;0;2;1655;0.46875
-2;0;2;1671;0.484375
-2;0;2;1688;0.4921875
-2;0;2;1705;0.5078125
-2;0;2;1721;0.515625
-2;0;2;1738;0.5234375
-2;0;2;1755;0.53125
-2;0;2;1772;0.5390625
-2;0;2;1788;0.546875
-2;0;2;1805;0.5625
-2;0;2;1822;0.5703125
-2;0;2;1839;0.578125
-2;0;2;1855;0.5859375
-2;0;2;1872;0.6015625
-2;0;2;1888;0.609375
-2;0;2;1905;0.625
-2;0;2;1922;0.640625
-2;0;2;1939;0.65625
