synth_id;from_interpolation;parameter;time;value
-2;0;1;43;0.25
-2;0;1;2359;0.25
-2;0;1;3663;0.2421875
-2;0;1;4705;0.2421875
-2;0;1;4738;0.25
-2;0;1;4772;0.2578125
-2;0;1;4788;0.265625
-2;0;1;4805;0.28125
-2;0;1;4825;0.2890625
-2;0;1;4841;0.3046875
-2;0;1;4856;0.328125
-2;0;1;4872;0.34375
-2;0;1;4888;0.3671875
-2;0;1;4906;0.390625
-2;0;1;4921;0.4140625
-2;0;1;4939;0.4375
-2;0;1;4955;0.453125
-2;0;1;4972;0.46875
-2;0;1;4988;0.484375
-2;0;1;5005;0.5078125
-2;0;1;5022;0.5234375
-2;0;1;5038;0.5390625
-2;0;1;5055;0.546875
-2;0;1;5072;0.5625
-2;0;1;5088;0.5703125
-2;0;1;5106;0.578125
-2;0;1;5122;0.5859375
-2;0;1;5138;0.59375
-2;0;1;5155;0.6015625
-2;0;1;5172;0.609375
-2;0;1;5190;0.6171875
-2;0;1;5222;0.6328125
-2;0;1;5238;0.6328125
-2;0;1;5272;0.6484375
-2;0;1;5288;0.6484375
-2;0;1;5305;0.65625
-2;0;1;5338;0.671875
-2;0;1;5355;0.6796875
-2;0;1;5372;0.6796875
-2;0;1;5405;0.6953125
-2;0;1;5422;0.6953125
-2;0;1;5455;0.7109375
-2;0;1;5472;0.7109375
-2;0;1;5505;0.7265625
-2;0;1;5523;0.7265625
-2;0;1;5555;0.7421875
-2;0;1;5572;0.75
-2;0;1;5606;0.7578125
-2;0;1;5639;0.765625
-2;0;1;5689;0.7734375
-2;0;1;5939;0.765625
-2;0;1;5972;0.75
-2;0;1;5989;0.7421875
-2;0;1;6005;0.7265625
-2;0;1;6022;0.7109375
-2;0;1;6039;0.6953125
-2;0;1;6056;0.671875
-2;0;1;6072;0.65625
-2;0;1;6089;0.6328125
-2;0;1;6106;0.6171875
-2;0;1;6125;0.59375
-2;0;1;6140;0.578125
-2;0;1;6156;0.5546875
-2;0;1;6172;0.5390625
-2;0;1;6191;0.5234375
-2;0;1;6207;0.5
-2;0;1;6222;0.484375
-2;0;1;6239;0.46875
-2;0;1;6256;0.453125
-2;0;1;6272;0.4375
-2;0;1;6289;0.421875
-2;0;1;6306;0.40625
-2;0;1;6322;0.390625
-2;0;1;6339;0.375
-2;0;1;6357;0.359375
-2;0;1;6372;0.3515625
-2;0;1;6389;0.3359375
-2;0;1;6408;0.328125
-2;0;1;6422;0.3203125
-2;0;1;6456;0.3046875
-2;0;1;6472;0.296875
-2;0;1;6489;0.2890625
-2;0;1;6505;0.2890625
-2;0;1;6539;0.2734375
-2;0;1;6555;0.2734375
-2;0;1;6592;0.265625
-2;0;1;6756;0.2578125
-2;0;1;8108;0.2578125
-2;0;1;11151;0.2578125
-2;0;1;14171;0.2578125
-2;0;1;16874;0.2578125
-2;0;1;19551;0.265625
-2;0;1;19557;0.2734375
-2;0;1;19575;0.28125
-2;0;1;19591;0.296875
-2;0;1;19607;0.3125
-2;0;1;19624;0.328125
-2;0;1;19641;0.3515625
-2;0;1;19657;0.375
-2;0;1;19674;0.390625
-2;0;1;19690;0.4140625
-2;0;1;19707;0.4375
-2;0;1;19724;0.4609375
-2;0;1;19741;0.4765625
-2;0;1;19757;0.5
-2;0;1;19774;0.515625
-2;0;1;19791;0.53125
-2;0;1;19808;0.546875
-2;0;1;19824;0.5546875
-2;0;1;19841;0.5703125
-2;0;1;19858;0.578125
-2;0;1;19875;0.5859375
-2;0;1;19891;0.59375
-2;0;1;19925;0.6015625
-2;0;1;19958;0.609375
-2;0;1;20174;0.609375
-2;0;1;20241;0.6015625
-2;0;1;20307;0.59375
-2;0;1;20324;0.5859375
-2;0;1;20341;0.578125
-2;0;1;20357;0.5703125
-2;0;1;20374;0.5625
-2;0;1;20392;0.546875
-2;0;1;20408;0.5390625
-2;0;1;20424;0.5234375
-2;0;1;20443;0.5078125
-2;0;1;20457;0.4921875
-2;0;1;20475;0.4765625
-2;0;1;20491;0.4609375
-2;0;1;20508;0.4453125
-2;0;1;20527;0.4296875
-2;0;1;20540;0.4140625
-2;0;1;20559;0.40625
-2;0;1;20574;0.390625
-2;0;1;20590;0.3828125
-2;0;1;20607;0.3671875
-2;0;1;20624;0.359375
-2;0;1;20641;0.3515625
-2;0;1;20657;0.34375
-2;0;1;20674;0.3359375
-2;0;1;20690;0.328125
-2;0;1;20707;0.3125
-2;0;1;20724;0.3046875
-2;0;1;20741;0.296875
-2;0;1;20757;0.2890625
-2;0;1;20774;0.28125
-2;0;1;20791;0.2734375
-2;0;1;20808;0.265625
-2;0;1;20824;0.265625
-2;0;1;20857;0.25
-2;0;1;20874;0.2421875
-2;0;1;20891;0.2421875
-2;0;1;20924;0.2265625
-2;0;1;20957;0.21875
-2;0;1;20991;0.2109375
-2;0;1;21024;0.203125
-2;0;1;21058;0.203125
-2;0;1;21091;0.1953125
-2;0;1;21124;0.1796875
-2;0;1;21158;0.171875
-2;0;1;21174;0.1640625
-2;0;1;21208;0.15625
-2;0;1;21245;0.1484375
-2;0;1;21276;0.1484375
-2;0;1;21309;0.1328125
-2;0;1;21325;0.1328125
-2;0;1;21374;0.1171875
-2;0;1;22951;0.1171875
-2;0;1;25608;0.125
-2;0;1;25625;0.1328125
-2;0;1;25641;0.140625
-2;0;1;25658;0.15625
-2;0;1;25675;0.1640625
-2;0;1;25691;0.1796875
-2;0;1;25708;0.1875
-2;0;1;25725;0.1953125
-2;0;1;25742;0.203125
