synth_id;from_interpolation;parameter;time;value
-2;0;1;32;0.25
-2;0;1;855;0.25
-2;0;1;2416;0.2578125
-2;0;1;2433;0.2578125
-2;0;1;2452;0.265625
-2;0;1;2468;0.28125
-2;0;1;2485;0.2890625
-2;0;1;2501;0.3046875
-2;0;1;2518;0.3203125
-2;0;1;2533;0.3359375
-2;0;1;2551;0.3515625
-2;0;1;2566;0.359375
-2;0;1;2583;0.375
-2;0;1;2599;0.3828125
-2;0;1;2618;0.390625
-2;0;1;2634;0.3984375
-2;0;1;2667;0.4140625
-2;0;1;2683;0.421875
-2;0;1;2699;0.421875
-2;0;1;2717;0.4296875
-2;0;1;2732;0.4375
-2;0;1;2749;0.4453125
-2;0;1;2765;0.453125
-2;0;1;2798;0.46875
-2;0;1;2816;0.46875
-2;0;1;2831;0.4765625
-2;0;1;2849;0.484375
-2;0;1;2882;0.5
-2;0;1;2898;0.5
-2;0;1;2916;0.5078125
-2;0;1;2931;0.515625
-2;0;1;2949;0.53125
-2;0;1;2965;0.5390625
-2;0;1;2982;0.546875
-2;0;1;2998;0.5546875
-2;0;1;3016;0.5625
-2;0;1;3032;0.5703125
-2;0;1;3048;0.578125
-2;0;1;3066;0.5859375
-2;0;1;3081;0.59375
-2;0;1;3099;0.6015625
-2;0;1;3115;0.609375
-2;0;1;3131;0.6171875
-2;0;1;3148;0.625
-2;0;1;3165;0.6328125
-2;0;1;3182;0.6484375
-2;0;1;3198;0.65625
-2;0;1;3215;0.6640625
-2;0;1;3231;0.671875
-2;0;1;3248;0.6796875
-2;0;1;3266;0.6875
-2;0;1;3282;0.6953125
-2;0;1;3298;0.703125
-2;0;1;3315;0.7109375
-2;0;1;3331;0.71875
-2;0;1;3349;0.7265625
-2;0;1;3365;0.734375
-2;0;1;3382;0.7421875
-2;0;1;3398;0.75
-2;0;1;3415;0.7578125
-2;0;1;3432;0.765625
-2;0;1;3449;0.7734375
-2;0;1;3465;0.78125
-2;0;1;3482;0.7890625
-2;0;1;3498;0.796875
-2;0;1;3516;0.8046875
-2;0;1;3532;0.8125
-2;0;1;3548;0.8203125
-2;0;1;3565;0.828125
-2;0;1;3582;0.8359375
-2;0;1;3599;0.84375
-2;0;1;3616;0.8515625
-2;0;1;3632;0.859375
-2;0;1;3648;0.859375
-2;0;1;3682;0.875
-2;0;1;3699;0.8828125
-2;0;1;3715;0.8828125
-2;0;1;3749;0.8984375
-2;0;1;3783;0.90625
-2;0;1;3815;0.9140625
-2;0;1;3849;0.921875
-2;0;1;3866;0.921875
-2;0;1;3899;0.9375
-2;0;1;3949;0.9453125
-2;0;1;4032;0.9375
-2;0;1;4065;0.921875
-2;0;1;4083;0.90625
-2;0;1;4102;0.8828125
-2;0;1;4119;0.859375
-2;0;1;4134;0.8359375
-2;0;1;4149;0.8046875
-2;0;1;4166;0.765625
-2;0;1;4182;0.734375
-2;0;1;4198;0.703125
-2;0;1;4215;0.671875
-2;0;1;4232;0.640625
-2;0;1;4249;0.609375
-2;0;1;4265;0.578125
-2;0;1;4282;0.546875
-2;0;1;4298;0.5234375
-2;0;1;4315;0.4921875
-2;0;1;4332;0.46875
-2;0;1;4349;0.4375
-2;0;1;4365;0.4140625
-2;0;1;4382;0.390625
-2;0;1;4399;0.3671875
-2;0;1;4415;0.34375
-2;0;1;4432;0.328125
-2;0;1;4449;0.3046875
-2;0;1;4465;0.296875
-2;0;1;4482;0.28125
-2;0;1;4499;0.2734375
-2;0;1;4516;0.265625
-2;0;1;4532;0.2578125
-2;0;1;4549;0.25
-2;0;1;4565;0.25
-2;0;1;4599;0.234375
-2;0;1;4632;0.2265625
-2;0;1;4666;0.21875
-2;0;1;4683;0.21875
-2;0;1;4732;0.203125
-2;0;1;4832;0.203125
-2;0;1;6759;0.203125
-2;0;1;9772;0.203125
-2;0;1;12840;0.203125
-2;0;1;15786;0.203125
-2;0;1;18373;0.203125
-2;0;1;18518;0.2265625
-2;0;1;18538;0.2421875
-2;0;1;18553;0.2578125
-2;0;1;18569;0.28125
-2;0;1;18584;0.3046875
-2;0;1;18601;0.3359375
-2;0;1;18617;0.3671875
-2;0;1;18634;0.40625
-2;0;1;18650;0.4375
-2;0;1;18667;0.4765625
-2;0;1;18684;0.5234375
-2;0;1;18700;0.5625
-2;0;1;18717;0.59375
-2;0;1;18734;0.6328125
-2;0;1;18752;0.671875
-2;0;1;18768;0.703125
-2;0;1;18784;0.734375
-2;0;1;18800;0.7578125
-2;0;1;18817;0.7890625
-2;0;1;18834;0.8046875
-2;0;1;18851;0.828125
-2;0;1;18867;0.84375
-2;0;1;18884;0.859375
-2;0;1;18900;0.875
-2;0;1;18917;0.8828125
-2;0;1;18951;0.890625
-2;0;1;19018;0.8984375
-2;0;1;19385;0.890625
-2;0;1;19434;0.8828125
-2;0;1;19451;0.875
-2;0;1;19467;0.859375
-2;0;1;19484;0.8359375
-2;0;1;19501;0.8125
-2;0;1;19518;0.78125
-2;0;1;19534;0.7421875
-2;0;1;19551;0.6953125
-2;0;1;19567;0.65625
-2;0;1;19584;0.6171875
-2;0;1;19601;0.5703125
-2;0;1;19619;0.5234375
-2;0;1;19635;0.4921875
-2;0;1;19651;0.453125
-2;0;1;19668;0.4140625
-2;0;1;19684;0.3828125
-2;0;1;19701;0.3515625
-2;0;1;19717;0.328125
-2;0;1;19734;0.3046875
-2;0;1;19751;0.28125
-2;0;1;19768;0.2578125
-2;0;1;19786;0.2421875
-2;0;1;19802;0.2265625
-2;0;1;19817;0.2109375
-2;0;1;19834;0.203125
-2;0;1;19851;0.1875
-2;0;1;19869;0.1796875
-2;0;1;19885;0.1796875
-2;0;1;19953;0.1640625
-2;0;1;20096;0.1640625
-2;0;1;20535;0.15625
-2;0;1;20568;0.1640625
-2;0;1;20586;0.171875
-2;0;1;20601;0.1796875
-2;0;1;20618;0.1953125
-2;0;1;20634;0.203125
-2;0;1;20651;0.21875
-2;0;1;20668;0.2265625
-2;0;1;20684;0.234375
-2;0;1;20717;0.2421875
-2;0;1;20734;0.25
-2;0;1;20768;0.2578125
-2;0;1;20801;0.265625
-2;0;1;20818;0.2734375
-2;0;1;20851;0.28125
-2;0;1;20884;0.2890625
-2;0;1;20918;0.296875
-2;0;1;20951;0.3046875
-2;0;1;20984;0.3125
-2;0;1;21068;0.3203125
-2;0;1;21118;0.328125
-2;0;1;21186;0.3359375
-2;0;1;21220;0.34375
-2;0;1;21254;0.3515625
-2;0;1;21271;0.359375
-2;0;1;21304;0.3671875
-2;0;1;21335;0.375
-2;0;1;21401;0.3828125
-2;0;1;21501;0.390625
-2;0;1;21568;0.3984375
-2;0;1;21676;0.40625
-2;0;1;21784;0.4140625
-2;0;1;22076;0.4140625
-2;0;1;22151;0.40625
-2;0;1;22201;0.3984375
-2;0;1;22218;0.3984375
-2;0;1;22235;0.3828125
-2;0;1;22251;0.375
-2;0;1;22268;0.359375
-2;0;1;22284;0.3515625
-2;0;1;22301;0.34375
-2;0;1;22334;0.328125
-2;0;1;22351;0.3203125
-2;0;1;22368;0.3203125
-2;0;1;22401;0.3125
-2;0;1;22437;0.3046875
-2;0;1;24430;0.296875
-2;0;1;27230;0.296875
-2;0;1;30029;0.296875
-2;0;1;32963;0.296875
-2;0;2;32;0.25
-2;0;2;1505;0.25
-2;0;2;4495;0.25
-2;0;2;5384;0.265625
-2;0;2;5400;0.28125
-2;0;2;5416;0.296875
-2;0;2;5432;0.3125
-2;0;2;5451;0.3359375
-2;0;2;5466;0.359375
-2;0;2;5482;0.3828125
-2;0;2;5499;0.40625
-2;0;2;5515;0.4375
-2;0;2;5532;0.4609375
-2;0;2;5549;0.484375
-2;0;2;5566;0.5078125
-2;0;2;5583;0.5234375
-2;0;2;5599;0.546875
-2;0;2;5615;0.5703125
-2;0;2;5632;0.5859375
-2;0;2;5649;0.6015625
-2;0;2;5667;0.625
-2;0;2;5682;0.640625
-2;0;2;5699;0.65625
-2;0;2;5716;0.671875
-2;0;2;5732;0.6875
-2;0;2;5750;0.703125
-2;0;2;5766;0.71875
-2;0;2;5782;0.7421875
-2;0;2;5799;0.7578125
-2;0;2;5816;0.7734375
-2;0;2;5833;0.7890625
-2;0;2;5849;0.8046875
-2;0;2;5866;0.8203125
-2;0;2;5882;0.8359375
-2;0;2;5899;0.8515625
-2;0;2;5916;0.8671875
-2;0;2;5932;0.875
-2;0;2;5950;0.8828125
-2;0;2;5968;0.890625
-2;0;2;5986;0.8984375
-2;0;2;6001;0.90625
-2;0;2;6016;0.9140625
-2;0;2;6033;0.921875
-2;0;2;6049;0.9296875
-2;0;2;6082;0.9375
-2;0;2;6099;0.9453125
-2;0;2;6132;0.953125
-2;0;2;6182;0.9609375
-2;0;2;6232;0.96875
-2;0;2;6577;0.96875
-2;0;2;6618;0.9609375
-2;0;2;6682;0.953125
-2;0;2;6716;0.9453125
-2;0;2;6735;0.9375
-2;0;2;6749;0.921875
-2;0;2;6766;0.90625
-2;0;2;6782;0.890625
-2;0;2;6800;0.875
-2;0;2;6816;0.859375
-2;0;2;6832;0.84375
-2;0;2;6849;0.8203125
-2;0;2;6866;0.796875
-2;0;2;6883;0.765625
-2;0;2;6899;0.7265625
-2;0;2;6916;0.6875
-2;0;2;6932;0.6484375
-2;0;2;6949;0.609375
-2;0;2;6967;0.5703125
-2;0;2;6983;0.53125
-2;0;2;6999;0.5
-2;0;2;7016;0.4609375
-2;0;2;7033;0.4296875
-2;0;2;7050;0.390625
-2;0;2;7066;0.3671875
-2;0;2;7082;0.3359375
-2;0;2;7099;0.3203125
-2;0;2;7116;0.296875
-2;0;2;7133;0.28125
-2;0;2;7150;0.265625
-2;0;2;7167;0.2578125
-2;0;2;7186;0.2421875
-2;0;2;7200;0.234375
-2;0;2;7218;0.2265625
-2;0;2;7234;0.21875
-2;0;2;7249;0.2109375
-2;0;2;7266;0.2109375
-2;0;2;7299;0.203125
-2;0;2;7332;0.1953125
-2;0;2;7544;0.1875
-2;0;2;7899;0.1953125
-2;0;2;7916;0.203125
-2;0;2;7933;0.21875
-2;0;2;7949;0.2421875
-2;0;2;7966;0.2578125
-2;0;2;7986;0.28125
-2;0;2;8001;0.3125
-2;0;2;8018;0.3359375
-2;0;2;8033;0.3671875
-2;0;2;8051;0.40625
-2;0;2;8066;0.4375
-2;0;2;8083;0.4765625
-2;0;2;8099;0.5078125
-2;0;2;8116;0.546875
-2;0;2;8132;0.578125
-2;0;2;8150;0.6171875
-2;0;2;8166;0.6484375
-2;0;2;8182;0.6796875
-2;0;2;8199;0.7109375
-2;0;2;8215;0.7421875
-2;0;2;8233;0.765625
-2;0;2;8249;0.7890625
-2;0;2;8266;0.8125
-2;0;2;8283;0.828125
-2;0;2;8299;0.84375
-2;0;2;8316;0.8515625
-2;0;2;8333;0.859375
-2;0;2;8366;0.875
-2;0;2;8383;0.8828125
-2;0;2;8416;0.8828125
-2;0;2;8549;0.890625
-2;0;2;8702;0.890625
-2;0;2;8866;0.8828125
-2;0;2;8949;0.875
-2;0;2;8983;0.8671875
-2;0;2;8999;0.8515625
-2;0;2;9016;0.8359375
-2;0;2;9033;0.8046875
-2;0;2;9049;0.7734375
-2;0;2;9066;0.75
-2;0;2;9083;0.7109375
-2;0;2;9099;0.6796875
-2;0;2;9116;0.6484375
-2;0;2;9133;0.609375
-2;0;2;9150;0.578125
-2;0;2;9166;0.5390625
-2;0;2;9183;0.5078125
-2;0;2;9200;0.4765625
-2;0;2;9217;0.4453125
-2;0;2;9236;0.421875
-2;0;2;9251;0.390625
-2;0;2;9267;0.375
-2;0;2;9284;0.3515625
