synth_id;from_interpolation;parameter;time;value
-2;0;1;39;0.25
-2;0;1;2027;0.25
-2;0;1;2087;0.2578125
-2;0;1;2122;0.265625
-2;0;1;2137;0.2734375
-2;0;1;2154;0.28125
-2;0;1;2170;0.2890625
-2;0;1;2187;0.3046875
-2;0;1;2204;0.3125
-2;0;1;2221;0.3203125
-2;0;1;2237;0.3359375
-2;0;1;2254;0.34375
-2;0;1;2271;0.3515625
-2;0;1;2287;0.359375
-2;0;1;2304;0.3671875
-2;0;1;2321;0.375
-2;0;1;2338;0.3828125
-2;0;1;2371;0.390625
-2;0;1;2404;0.3984375
-2;0;1;2437;0.40625
-2;0;1;2471;0.4140625
-2;0;1;2521;0.421875
-2;0;1;2731;0.421875
-2;0;1;2772;0.4296875
-2;0;1;4949;0.4296875
-2;0;1;5538;0.4453125
-2;0;1;5554;0.453125
-2;0;1;5588;0.4609375
-2;0;1;5605;0.46875
-2;0;1;5638;0.4765625
-2;0;1;5654;0.484375
-2;0;1;5671;0.4921875
-2;0;1;5688;0.5
-2;0;1;5721;0.5078125
-2;0;1;5738;0.515625
-2;0;1;5772;0.5234375
-2;0;1;5838;0.53125
-2;0;1;6089;0.53125
-2;0;1;6258;0.5390625
-2;0;1;7996;0.5390625
-2;0;1;10164;0.53125
-2;0;1;10442;0.5234375
-2;0;1;10932;0.5234375
-2;0;1;11524;0.5234375
-2;0;1;12240;0.5234375
-2;0;1;12257;0.53125
-2;0;1;12290;0.5390625
-2;0;1;12307;0.546875
-2;0;1;12324;0.5546875
-2;0;1;12340;0.5625
-2;0;1;12357;0.5703125
-2;0;1;12374;0.5859375
-2;0;1;12391;0.59375
-2;0;1;12407;0.6015625
-2;0;1;12423;0.609375
-2;0;1;12443;0.6171875
-2;0;1;12459;0.625
-2;0;1;12474;0.6328125
-2;0;1;12509;0.640625
-2;0;1;12526;0.6484375
-2;0;1;12542;0.65625
-2;0;1;12575;0.6640625
-2;0;1;12608;0.671875
-2;0;1;12622;0.6796875
-2;0;1;12639;0.6875
-2;0;1;12656;0.6953125
-2;0;1;12673;0.703125
-2;0;1;12692;0.7109375
-2;0;1;12706;0.71875
-2;0;1;12723;0.7265625
-2;0;1;12758;0.734375
-2;0;1;12806;0.7421875
-2;0;1;12909;0.75
-2;0;1;13023;0.7578125
-2;0;1;13290;0.7578125
-2;0;1;13323;0.75
-2;0;1;13339;0.7421875
-2;0;1;13359;0.734375
-2;0;1;13373;0.7265625
-2;0;1;13406;0.71875
-2;0;1;13424;0.7109375
-2;0;1;13440;0.703125
-2;0;1;13474;0.6953125
-2;0;1;13491;0.6875
-2;0;1;13524;0.6796875
-2;0;1;13574;0.671875
-2;0;1;13649;0.6640625
-2;0;1;13840;0.65625
