synth_id;from_interpolation;parameter;time;value
-2;0;1;33;0.25
-2;0;1;490;0.25
-2;0;1;1478;0.265625
-2;0;1;1494;0.2734375
-2;0;1;1510;0.28125
-2;0;1;1526;0.296875
-2;0;1;1546;0.3046875
-2;0;1;1560;0.3203125
-2;0;1;1577;0.3359375
-2;0;1;1593;0.3515625
-2;0;1;1610;0.3671875
-2;0;1;1627;0.3828125
-2;0;1;1643;0.3984375
-2;0;1;1660;0.4140625
-2;0;1;1676;0.4296875
-2;0;1;1693;0.4453125
-2;0;1;1711;0.4609375
-2;0;1;1726;0.4765625
-2;0;1;1743;0.4921875
-2;0;1;1760;0.5078125
-2;0;1;1776;0.5234375
-2;0;1;1794;0.5390625
-2;0;1;1810;0.546875
-2;0;1;1826;0.5625
-2;0;1;1843;0.5703125
-2;0;1;1860;0.5859375
-2;0;1;1877;0.59375
-2;0;1;1896;0.609375
-2;0;1;1910;0.6171875
-2;0;1;1927;0.625
-2;0;1;1943;0.640625
-2;0;1;1960;0.6484375
-2;0;1;1977;0.65625
-2;0;1;1993;0.6640625
-2;0;1;2010;0.6796875
-2;0;1;2027;0.6875
-2;0;1;2044;0.6953125
-2;0;1;2060;0.703125
-2;0;1;2077;0.7109375
-2;0;1;2093;0.71875
-2;0;1;2110;0.7265625
-2;0;1;2128;0.734375
-2;0;1;2144;0.7421875
-2;0;1;2177;0.75
-2;0;1;2194;0.75
-2;0;1;2227;0.7578125
-2;0;1;2294;0.765625
-2;0;1;2477;0.765625
-2;0;1;2497;0.75
-2;0;1;2512;0.7421875
-2;0;1;2529;0.7265625
-2;0;1;2545;0.7109375
-2;0;1;2561;0.6953125
-2;0;1;2578;0.671875
-2;0;1;2594;0.6484375
-2;0;1;2613;0.625
-2;0;1;2629;0.6015625
-2;0;1;2645;0.578125
-2;0;1;2660;0.5546875
-2;0;1;2678;0.5234375
-2;0;1;2694;0.5
-2;0;1;2710;0.46875
-2;0;1;2727;0.4453125
-2;0;1;2743;0.421875
-2;0;1;2760;0.3984375
-2;0;1;2777;0.375
-2;0;1;2794;0.359375
-2;0;1;2810;0.3359375
-2;0;1;2827;0.3203125
-2;0;1;2843;0.3046875
-2;0;1;2860;0.2890625
-2;0;1;2877;0.28125
-2;0;1;2894;0.265625
-2;0;1;2910;0.2578125
-2;0;1;2927;0.25
-2;0;1;2944;0.234375
-2;0;1;2961;0.2265625
-2;0;1;2977;0.21875
-2;0;1;2994;0.21875
-2;0;1;3027;0.203125
-2;0;1;3044;0.203125
-2;0;1;3079;0.1875
-2;0;1;3096;0.1796875
-2;0;1;3127;0.171875
-2;0;1;3143;0.171875
-2;0;1;3177;0.1640625
-2;0;1;3227;0.1484375
-2;0;1;3277;0.140625
-2;0;1;3327;0.1328125
-2;0;1;3393;0.125
-2;0;1;3477;0.125
-2;0;1;6437;0.1171875
-2;0;1;9347;0.1171875
-2;0;1;12224;0.1171875
-2;0;2;34;0.25
-2;0;2;1134;0.25
-2;0;2;3952;0.2578125
-2;0;2;3978;0.2734375
-2;0;2;3994;0.296875
-2;0;2;4010;0.3203125
-2;0;2;4027;0.359375
-2;0;2;4045;0.390625
-2;0;2;4063;0.4296875
-2;0;2;4077;0.46875
-2;0;2;4096;0.5
-2;0;2;4112;0.5390625
-2;0;2;4128;0.578125
-2;0;2;4144;0.609375
-2;0;2;4161;0.640625
-2;0;2;4177;0.6640625
-2;0;2;4194;0.6796875
-2;0;2;4211;0.703125
-2;0;2;4227;0.71875
-2;0;2;4244;0.734375
-2;0;2;4260;0.75
-2;0;2;4277;0.7578125
-2;0;2;4294;0.765625
-2;0;2;4310;0.7734375
-2;0;2;4343;0.78125
-2;0;2;4377;0.7890625
-2;0;2;4411;0.796875
-2;0;2;4444;0.796875
-2;0;2;4494;0.8125
-2;0;2;4527;0.8203125
-2;0;2;4544;0.8203125
-2;0;2;4577;0.828125
-2;0;2;4627;0.84375
-2;0;2;4736;0.8515625
-2;0;2;4878;0.84375
-2;0;2;4911;0.8359375
-2;0;2;4927;0.8203125
-2;0;2;4944;0.796875
-2;0;2;4961;0.7734375
-2;0;2;4977;0.7421875
-2;0;2;4994;0.7109375
-2;0;2;5011;0.6796875
-2;0;2;5027;0.640625
-2;0;2;5044;0.6015625
-2;0;2;5061;0.5625
-2;0;2;5077;0.5234375
-2;0;2;5094;0.484375
-2;0;2;5111;0.4453125
-2;0;2;5128;0.40625
-2;0;2;5144;0.375
-2;0;2;5161;0.34375
-2;0;2;5177;0.3125
-2;0;2;5194;0.2890625
-2;0;2;5211;0.265625
-2;0;2;5228;0.2421875
-2;0;2;5246;0.21875
-2;0;2;5260;0.203125
-2;0;2;5278;0.1875
-2;0;2;5295;0.171875
-2;0;2;5311;0.1640625
-2;0;2;5327;0.1484375
-2;0;2;5344;0.140625
-2;0;2;5361;0.1328125
-2;0;2;5378;0.125
-2;0;2;5394;0.1171875
-2;0;2;5411;0.1171875
-2;0;2;5444;0.1015625
-2;0;2;5477;0.09375
-2;0;2;5511;0.0859375
-2;0;2;5545;0.078125
-2;0;2;5577;0.078125
-2;0;2;5644;0.0625
-2;0;2;5746;0.0546875
-2;0;2;5860;0.046875
-2;0;2;7191;0.046875
-2;0;2;10057;0.046875
-2;0;2;12937;0.046875
-2;0;3;34;0.25
-2;0;3;1867;0.25
-2;0;3;4937;0.25
-2;0;3;6654;0.234375
-2;0;3;6680;0.25
-2;0;3;6695;0.2578125
-2;0;3;6711;0.2734375
-2;0;3;6727;0.2890625
-2;0;3;6744;0.3125
-2;0;3;6762;0.328125
-2;0;3;6778;0.359375
-2;0;3;6796;0.3828125
-2;0;3;6811;0.40625
-2;0;3;6827;0.4296875
-2;0;3;6844;0.453125
-2;0;3;6861;0.4765625
-2;0;3;6877;0.5
-2;0;3;6894;0.5234375
-2;0;3;6910;0.546875
-2;0;3;6927;0.5703125
-2;0;3;6944;0.5859375
-2;0;3;6961;0.6015625
-2;0;3;6977;0.6171875
-2;0;3;6994;0.625
-2;0;3;7011;0.640625
-2;0;3;7027;0.6484375
-2;0;3;7044;0.6640625
-2;0;3;7063;0.671875
-2;0;3;7078;0.6796875
-2;0;3;7095;0.6875
-2;0;3;7111;0.6953125
-2;0;3;7128;0.703125
-2;0;3;7144;0.7109375
-2;0;3;7161;0.71875
-2;0;3;7178;0.7265625
-2;0;3;7194;0.734375
-2;0;3;7211;0.734375
-2;0;3;7244;0.75
-2;0;3;7262;0.7578125
-2;0;3;7278;0.7578125
