synth_id;from_interpolation;parameter;time;value
-2;0;1;36;0.25
-2;0;1;1152;0.25
-2;0;1;3732;0.25
-2;0;1;6296;0.25
-2;0;1;8863;0.25
-2;0;1;11439;0.25
-2;0;1;14010;0.25
-2;0;1;16590;0.25
-2;0;1;19147;0.25
-2;0;1;21719;0.25
-2;0;1;24293;0.25
-2;0;1;26868;0.25
-2;0;1;29444;0.25
-2;0;1;32028;0.25
-2;0;1;34608;0.25
-2;0;2;37;0.25
-2;0;2;1807;0.25
-2;0;2;4375;0.25
-2;0;2;6930;0.25
-2;0;2;9510;0.25
-2;0;2;12084;0.25
-2;0;2;14655;0.25
-2;0;2;17235;0.25
-2;0;2;19785;0.25
-2;0;2;22357;0.25
-2;0;2;24930;0.25
-2;0;2;27508;0.25
-2;0;2;30094;0.25
-2;0;2;32703;0.25
-2;0;3;37;0.25
-2;0;3;2448;0.25
-2;0;3;5009;0.25
-2;0;3;7572;0.25
-2;0;3;10150;0.25
-2;0;3;12720;0.25
-2;0;3;15300;0.25
-2;0;3;17872;0.25
-2;0;3;20423;0.25
-2;0;3;23002;0.25
-2;0;3;25577;0.25
-2;0;3;28150;0.25
-2;0;3;30731;0.25
-2;0;3;33334;0.25
-2;0;4;38;0.25
-2;0;4;519;0.25
-2;0;4;3096;0.25
-2;0;4;5647;0.25
-2;0;4;8214;0.25
-2;0;4;10794;0.25
-2;0;4;13370;0.25
-2;0;4;15947;0.25
-2;0;4;18506;0.25
-2;0;4;21068;0.25
-2;0;4;23646;0.25
-2;0;4;26222;0.25
-2;0;4;28800;0.25
-2;0;4;31379;0.25
-2;0;4;33973;0.25
-1;1;1;18;0.25
-1;1;1;2116;0.25
-1;1;1;4800;0.25
-1;1;1;6055;0.25
-1;1;1;6206;0.2421875
-1;1;1;6321;0.234375
-1;1;1;6605;0.21875
-1;1;1;7171;0.21875
-1;1;1;7240;0.2265625
-1;1;1;7323;0.234375
-1;1;1;7530;0.2421875
-1;1;1;7671;0.25
-1;1;1;7775;0.2578125
-1;1;1;7838;0.265625
-1;1;1;7875;0.2734375
-1;1;1;7923;0.28125
-1;1;1;7974;0.2890625
-1;1;1;8004;0.296875
-1;1;1;8038;0.3046875
-1;1;1;8088;0.3125
-1;1;1;8105;0.3203125
-1;1;1;8141;0.328125
-1;1;1;8204;0.3359375
-1;1;1;8307;0.34375
-1;1;1;8393;0.3515625
-1;1;1;8555;0.359375
-1;1;1;8639;0.3671875
-1;1;1;8705;0.375
-1;1;1;8755;0.3828125
-1;1;1;8788;0.390625
-1;1;1;8807;0.3984375
-1;1;1;8838;0.40625
-1;1;1;8871;0.4140625
-1;1;1;8921;0.421875
-1;1;1;8955;0.4296875
-1;1;1;8991;0.4375
-1;1;1;9044;0.4453125
-1;1;1;9107;0.453125
-1;1;1;9405;0.4609375
-1;1;1;9627;0.453125
-1;1;1;9805;0.453125
-1;1;1;9838;0.4453125
-1;1;1;9891;0.4375
-1;1;1;9956;0.4296875
-1;1;1;10005;0.421875
-1;1;1;10038;0.4140625
-1;1;1;10096;0.40625
-1;1;1;10138;0.3984375
-1;1;1;10204;0.3828125
-1;1;1;10238;0.3828125
-1;1;1;10307;0.375
-1;1;1;10391;0.3671875
-1;1;1;10421;0.359375
-1;1;1;10454;0.3515625
-1;1;1;10505;0.3359375
-1;1;1;10539;0.328125
-1;1;1;10572;0.3203125
-1;1;1;10604;0.3203125
-1;1;1;10657;0.3046875
-1;1;1;10690;0.296875
-1;1;1;10723;0.296875
-1;1;1;10772;0.28125
-1;1;1;10821;0.28125
-1;1;1;10871;0.2734375
-1;1;1;10905;0.265625
-1;1;1;10955;0.25
-1;1;1;10988;0.25
-1;1;1;11072;0.234375
-1;1;1;11271;0.2265625
-1;1;1;11322;0.2265625
-1;1;1;11389;0.21875
-1;1;1;11438;0.2109375
-1;1;1;11489;0.1953125
-1;1;1;11541;0.1875
-1;1;1;11590;0.1796875
-1;1;1;11641;0.1796875
-1;1;1;11772;0.1640625
-1;1;1;12012;0.15625
-1;1;1;12089;0.15625
-1;1;1;12207;0.140625
-1;1;1;13088;0.140625
-1;1;1;14094;0.140625
-1;1;1;16542;0.140625
-1;1;1;16674;0.1484375
-1;1;1;16723;0.15625
-1;1;1;16806;0.1640625
-1;1;1;16855;0.171875
-1;1;1;17022;0.1796875
-1;1;1;17137;0.1875
-1;1;1;17239;0.1953125
-1;1;1;17307;0.203125
-1;1;1;17388;0.2109375
-1;1;1;17490;0.21875
-1;1;1;17772;0.2265625
-1;1;1;17941;0.234375
-1;1;1;18040;0.2421875
-1;1;1;18323;0.2421875
-1;1;1;18906;0.2421875
-1;1;1;19882;0.2421875
-1;1;2;19;0.25
-1;1;2;2776;0.25
-1;1;2;5468;0.25
-1;1;2;5911;0.2578125
-1;1;2;5938;0.265625
-1;1;2;6070;0.2734375
-1;1;2;6104;0.28125
-1;1;2;6172;0.2890625
-1;1;2;6189;0.296875
-1;1;2;6223;0.3046875
-1;1;2;6239;0.3125
-1;1;2;6270;0.3203125
-1;1;2;6305;0.328125
-1;1;2;6354;0.3359375
-1;1;2;6389;0.34375
-1;1;2;6474;0.3515625
-1;1;2;6571;0.359375
-1;1;2;6645;0.3671875
-1;1;2;6690;0.375
-1;1;2;6756;0.3828125
-1;1;2;6873;0.390625
-1;1;2;6953;0.3984375
-1;1;2;7154;0.40625
-1;1;2;7188;0.40625
-1;1;2;7287;0.4140625
-1;1;2;7323;0.421875
-1;1;2;7371;0.4296875
-1;1;2;7439;0.4375
-1;1;2;7587;0.4453125
-1;1;2;7775;0.4453125
-1;1;2;7857;0.4375
-1;1;2;7906;0.4296875
-1;1;2;7954;0.421875
-1;1;2;8021;0.4140625
-1;1;2;8088;0.40625
-1;1;2;8288;0.40625
-1;1;2;8422;0.4140625
-1;1;2;8572;0.421875
-1;1;2;8639;0.4296875
-1;1;2;8699;0.4375
-1;1;2;8740;0.4453125
-1;1;2;8788;0.4609375
-1;1;2;8807;0.46875
-1;1;2;8824;0.484375
-1;1;2;8838;0.484375
-1;1;2;8871;0.4921875
-1;1;2;8909;0.5
-1;1;2;8938;0.5078125
-1;1;2;8971;0.515625
-1;1;2;9005;0.5234375
-1;1;2;9058;0.53125
-1;1;2;9107;0.5390625
-1;1;2;9531;0.546875
-1;1;2;9822;0.5390625
-1;1;2;9838;0.53125
-1;1;2;9855;0.53125
-1;1;2;9891;0.5234375
-1;1;2;9956;0.515625
-1;1;2;10005;0.5078125
-1;1;2;10038;0.4921875
-1;1;2;10073;0.4921875
-1;1;2;10122;0.484375
-1;1;2;10171;0.4765625
-1;1;2;10204;0.46875
-1;1;2;10238;0.4609375
-1;1;2;10307;0.453125
-1;1;2;10356;0.4453125
-1;1;2;10406;0.4375
-1;1;2;10438;0.4296875
-1;1;2;10474;0.421875
